case_id,task,metric,split,system_result,gt,reason_code,reason_note,owner,status,run_date
PREF-0002,preference,exact_match,dev,"[[""output.structure"", ""complete_tree"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]","[[""output.code_example"", ""full_runnable"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]",基线能力不足,,1/2号,open,2026-08-10
PREF-0004,preference,exact_match,dev,[],"[[""tool.editor"", ""vim"", ""tool_choice"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
PREF-0005,preference,exact_match,dev,[],"[[""tool.compiler"", ""gcc"", ""tool_choice"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
PREF-0007,preference,exact_match,dev,"[[""ui.theme"", ""dark"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]","[[""ui.theme"", ""dark"", ""operation_habit"", ""global"", ""global"", ""positive"", ""active""]]",基线能力不足,,1/2号,open,2026-08-10
PREF-0008,preference,exact_match,dev,"[[""ui.theme"", ""light"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]","[[""ui.theme"", ""light"", ""operation_habit"", ""global"", ""global"", ""positive"", ""active""]]",基线能力不足,,1/2号,open,2026-08-10
PREF-0009,preference,exact_match,dev,[],"[[""ui.font_size"", ""large"", ""operation_habit"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
PREF-0010,preference,exact_match,dev,[],"[[""ui.high_contrast"", ""enabled"", ""operation_habit"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
PREF-0011,preference,exact_match,dev,[],"[[""ui.animation"", ""reduced"", ""operation_habit"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
PREF-0012,preference,exact_match,dev,[],"[[""ui.dnd"", ""enabled"", ""operation_habit"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
PREF-0013,preference,exact_match,dev,[],"[[""files.sort"", ""mtime"", ""operation_habit"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
PREF-0015,preference,exact_match,dev,"[[""output.format"", ""table"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]","[[""tool.office"", ""libreoffice"", ""tool_choice"", ""global"", ""global"", ""positive"", ""active""]]",基线能力不足,,1/2号,open,2026-08-10
PREF-0017,preference,exact_match,dev,"[[""output.format"", ""table"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]","[[""output.structure"", ""conclusion_then_table"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]",基线能力不足,,1/2号,open,2026-08-10
PREF-0018,preference,exact_match,dev,"[[""output.format"", ""pdf"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]","[[""output.export"", ""pdf"", ""output_style"", ""global"", ""global"", ""positive"", ""active""]]",基线能力不足,,1/2号,open,2026-08-10
PREF-0019,preference,exact_match,dev,[],"[[""tool.browser"", ""firefox"", ""tool_choice"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
PREF-0020,preference,exact_match,dev,[],"[[""tool.browser"", ""chrome"", ""tool_choice"", ""global"", ""global"", ""positive"", ""active""]]",隐式偏好,,1/2号,open,2026-08-10
