case_id,query,gold_memory_ids,gold_titles,suggested_action,reason,human_decision,notes
RET-0061,磁盘清理前要注意备份和安全步骤，分别说明,mem_kb_0057|mem_kb_0058,磁盘清理安全步骤|本地增量备份操作要点,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0063,如何打开终端，以及如何查看是否为麒麟 V11？,mem_kb_0001|mem_kb_0011,打开终端|查看系统版本,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0064,网络不通时如何检查连接并配置静态 IP？,mem_kb_0003|mem_kb_0004,检查网络连接|配置静态IP,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0065,如何同时做好防火墙启用和自动锁屏？,mem_kb_0005|mem_kb_0006,启用防火墙|自动锁屏设置,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0066,清理缓存前怎样查看磁盘占用？,mem_kb_0007|mem_kb_0021,深度清理缓存|查看磁盘占用,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0067,开发环境如何安装编译工具和 nlohmann-json？,mem_kb_0013|mem_kb_0014,安装编译工具|安装nlohmann-json,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0068,文本嵌入运行时和向量引擎分别在哪里、怎么启动？,mem_kb_0015|mem_kb_0016,启动文本嵌入运行时|向量引擎位置,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0069,办公时如何导出 WPS 为 PDF 并套用会议纪要模板？,mem_kb_0018|mem_kb_0019,导出WPS为PDF|会议纪要模板,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0070,增量备份思路与查看磁盘占用分别怎么做？,mem_kb_0020|mem_kb_0021,增量备份命令思路|查看磁盘占用,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0071,配置 Git 用户信息并生成 SSH 密钥的步骤？,mem_kb_0023|mem_kb_0024,配置Git用户信息|生成SSH密钥,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0072,连不上公司 VPN 或共享盘时如何排查？,mem_kb_0025|mem_kb_0026,连接公司VPN|共享盘访问失败排查,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0074,创建普通用户并正确配置 sudo 权限？,mem_kb_0009|mem_kb_0010,创建普通用户|sudo权限,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0075,如何确认系统版本与 CPU 架构？,mem_kb_0011|mem_kb_0012,查看系统版本|查看CPU架构,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0076,软件商店装应用与安装 Firefox 有何关系与步骤？,mem_kb_0002|mem_kb_0028,软件商店安装应用|安装Firefox,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0078,Python3.12 虚拟环境与编译工具链如何一起准备？,mem_kb_0056|mem_kb_0013,创建 Python 虚拟环境|安装编译工具,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
RET-0084,如何打开终端并查看系统版本？,mem_kb_0001|mem_kb_0011,打开终端|查看系统版本,likely_true_multi,真人多意图；保留双 gold,keep_both,真人多意图；保留双 gold
